"module name","license","repository"
"7zip-bin@5.0.3","MIT","https://github.com/develar/7zip-bin"
"@develar/schema-utils@2.1.0","MIT","https://github.com/webpack-contrib/schema-utils"
"@electron/get@1.6.0","MIT","https://github.com/electron/get"
"@samverschueren/stream-to-observable@0.3.0","MIT","https://github.com/SamVerschueren/stream-to-observable"
"@sindresorhus/df@1.0.1","MIT","https://github.com/sindresorhus/df"
"@sindresorhus/df@2.1.0","MIT","https://github.com/sindresorhus/df"
"@sindresorhus/is@0.14.0","MIT","https://github.com/sindresorhus/is"
"@szmarczak/http-timer@1.1.2","MIT","https://github.com/szmarczak/http-timer"
"@types/debug@4.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@12.12.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"ansi-align@3.0.0","ISC","https://github.com/nexdrew/ansi-align"
"ansi-escapes@3.2.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"any-observable@0.3.0","MIT","https://github.com/sindresorhus/any-observable"
"app-builder-bin@3.4.3","MIT","https://github.com/develar/app-builder"
"app-builder-lib@21.2.0","MIT","https://github.com/electron-userland/electron-builder"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"async-exit-hook@2.0.1","MIT","https://github.com/tapppi/async-exit-hook"
"bluebird-lst@1.0.9","MIT","https://github.com/develar/fs-extra-p"
"boolean@2.0.2","MIT","https://github.com/thenativeweb/boolean"
"boxen@3.2.0","MIT","https://github.com/sindresorhus/boxen"
"builder-util-runtime@8.3.0","MIT","https://github.com/electron-userland/electron-builder"
"builder-util@21.2.0","MIT","https://github.com/electron-userland/electron-builder"
"cacheable-request@6.1.0","MIT","https://github.com/lukechilds/cacheable-request"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"chkin@0.1.0","UNKNOWN","https://github.com/gelue-club/chkin"
"chromium-pickle-js@0.2.0","MIT","https://github.com/electron/node-chromium-pickle-js"
"cli-boxes@2.2.0","MIT","https://github.com/sindresorhus/cli-boxes"
"cli-cursor@2.1.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-truncate@0.2.1","MIT","https://github.com/sindresorhus/cli-truncate"
"clone-response@1.0.2","MIT","https://github.com/lukechilds/clone-response"
"config-chain@1.1.12","MIT","https://github.com/dominictarr/config-chain"
"configstore@4.0.0","BSD-2-Clause","https://github.com/yeoman/configstore"
"core-js@3.3.6","MIT","https://github.com/zloirock/core-js"
"cp-file@6.2.0","MIT","https://github.com/sindresorhus/cp-file"
"cross-spawn-async@2.2.5","MIT","https://github.com/IndigoUnited/node-cross-spawn-async"
"cross-spawn@5.1.0","MIT","https://github.com/IndigoUnited/node-cross-spawn"
"cross-spawn@7.0.1","MIT","https://github.com/moxystudio/node-cross-spawn"
"crypto-random-string@1.0.0","MIT","https://github.com/sindresorhus/crypto-random-string"
"date-fns@1.30.1","MIT","https://github.com/date-fns/date-fns"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@4.1.1","MIT","https://github.com/visionmedia/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"decompress-response@3.3.0","MIT","https://github.com/sindresorhus/decompress-response"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend"
"defer-to-connect@1.0.2","MIT","https://github.com/szmarczak/defer-to-connect"
"dezalgo@1.0.3","ISC","https://github.com/npm/dezalgo"
"dmg-builder@21.2.0","MIT","https://github.com/electron-userland/electron-builder"
"dotenv@8.2.0","BSD-2-Clause","https://github.com/motdotla/dotenv"
"duplexer3@0.1.4","BSD-3-Clause","https://github.com/floatdrop/duplexer3"
"ejs@2.7.1","Apache-2.0","https://github.com/mde/ejs"
"electron-builder@21.2.0","MIT","https://github.com/electron-userland/electron-builder"
"electron-publish@21.2.0","MIT","https://github.com/electron-userland/electron-builder"
"electron@7.0.0","MIT","https://github.com/electron/electron"
"elegant-spinner@1.0.1","MIT","https://github.com/sindresorhus/elegant-spinner"
"emoji-regex@7.0.3","MIT","https://github.com/mathiasbynens/emoji-regex"
"env-paths@2.2.0","MIT","https://github.com/sindresorhus/env-paths"
"es6-error@4.1.1","MIT","https://github.com/bjyoungblood/es6-error"
"escape-string-regexp@2.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"execa@0.2.2","MIT","https://github.com/sindresorhus/execa"
"execa@0.7.0","MIT","https://github.com/sindresorhus/execa"
"execa@3.2.0","MIT","https://github.com/sindresorhus/execa"
"extract-zip@1.6.7","BSD-2-Clause","https://github.com/maxogden/extract-zip"
"fd-slicer@1.0.1","MIT","https://github.com/andrewrk/node-fd-slicer"
"figures@1.7.0","MIT","https://github.com/sindresorhus/figures"
"figures@2.0.0","MIT","https://github.com/sindresorhus/figures"
"fs-extra@8.1.0","MIT","https://github.com/jprichardson/node-fs-extra"
"get-stream@3.0.0","MIT","https://github.com/sindresorhus/get-stream"
"get-stream@5.1.0","MIT","https://github.com/sindresorhus/get-stream"
"global-agent@2.1.5","BSD-3-Clause","https://github.com/gajus/global-agent"
"global-dirs@0.1.1","MIT","https://github.com/sindresorhus/global-dirs"
"global-tunnel-ng@2.7.1","BSD-3-Clause","https://github.com/np-maintain/global-tunnel"
"globalthis@1.0.0","MIT","https://github.com/ljharb/System.global"
"globby@7.1.1","MIT","https://github.com/sindresorhus/globby"
"got@9.6.0","MIT","https://github.com/sindresorhus/got"
"has-yarn@2.1.0","MIT","https://github.com/sindresorhus/has-yarn"
"http-cache-semantics@4.0.3","BSD-2-Clause","https://github.com/kornelski/http-cache-semantics"
"human-signals@1.1.1","Apache-2.0","https://github.com/ehmicky/human-signals"
"iconv-lite@0.5.0","MIT","https://github.com/ashtuchkin/iconv-lite"
"ignore@3.3.10","MIT","https://github.com/kaelzhang/node-ignore"
"import-lazy@2.1.0","MIT","https://github.com/sindresorhus/import-lazy"
"indent-string@3.2.0","MIT","https://github.com/sindresorhus/indent-string"
"is-fullwidth-code-point@1.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-fullwidth-code-point@2.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-installed-globally@0.1.0","MIT","https://github.com/sindresorhus/is-installed-globally"
"is-npm@3.0.0","MIT","https://github.com/sindresorhus/is-npm"
"is-observable@1.1.0","MIT","https://github.com/sindresorhus/is-observable"
"is-path-inside@2.1.0","MIT","https://github.com/sindresorhus/is-path-inside"
"is-stream@2.0.0","MIT","https://github.com/sindresorhus/is-stream"
"is-yarn-global@0.3.0","MIT","https://github.com/LitoMore/is-yarn-global"
